cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L04248	69,00	173,00	3,00	1021,00	235,00	508,00	5,00	284,00	5,00	16,00	60,00	12,00	50,00	ELÓI PIETÁ	1984,00	3149	2441	708	3,48	0,15	51,46	11,84	25,60	0,25	0,25	0,81	3,02	0,60	2,52	-46,4098396	-23,4606598
L04249	29,00	141,00	1,00	766,00	283,00	381,00	3,00	242,00	3,00	14,00	25,00	7,00	36,00	ELÓI PIETÁ	1548,00	2373	1931	442	1,87	0,06	49,48	18,28	24,61	0,19	0,19	0,90	1,61	0,45	2,33	-46,4399123	-23,4617526
L04250	68,00	199,00	3,00	1060,00	283,00	499,00	6,00	274,00	9,00	27,00	53,00	28,00	21,00	ELÓI PIETÁ	2057,00	3336	2530	806	3,31	0,15	51,53	13,76	24,26	0,29	0,44	1,31	2,58	1,36	1,02	-46,4006412	-23,4605835
L04251	44,00	216,00	5,00	1435,00	244,00	760,00	2,00	407,00	44,00	20,00	114,00	35,00	17,00	ELÓI PIETÁ	2720,00	4095	3343	752	1,62	0,18	52,76	8,97	27,94	0,07	1,62	0,74	4,19	1,29	0,62	-46,4122972	-23,4487083
L04252	72,00	192,00	2,00	1170,00	152,00	667,00	20,00	331,00	4,00	9,00	56,00	12,00	15,00	ELÓI PIETÁ	2179,00	3198	2702	496	3,30	0,09	53,69	6,98	30,61	0,92	0,18	0,41	2,57	0,55	0,69	-46,3922900	-23,4769740
L04253	59,00	202,00	4,00	899,00	265,00	539,00	5,00	260,00	24,00	22,00	98,00	20,00	25,00	ELÓI PIETÁ	1960,00	3057	2422	635	3,01	0,20	45,87	13,52	27,50	0,26	1,22	1,12	5,00	1,02	1,28	-46,4078760	-23,4565700
L04254	53,00	141,00	1,00	869,00	211,00	543,00	6,00	290,00	12,00	29,00	49,00	25,00	21,00	ELÓI PIETÁ	1819,00	2816	2250	566	2,91	0,05	47,77	11,60	29,85	0,33	0,66	1,59	2,69	1,37	1,15	-46,4142034	-23,4355403
L04255	74,00	208,00	5,00	1174,00	229,00	599,00	4,00	354,00	19,00	16,00	83,00	22,00	69,00	ELÓI PIETÁ	2294,00	3409	2856	553	3,23	0,22	51,18	9,98	26,11	0,17	0,83	0,70	3,62	0,96	3,01	-46,4083672	-23,4621695
L04256	24,00	100,00	3,00	688,00	180,00	436,00	4,00	221,00	10,00	10,00	56,00	14,00	8,00	ELÓI PIETÁ	1433,00	2063	1754	309	1,67	0,21	48,01	12,56	30,43	0,28	0,70	0,70	3,91	0,98	0,56	-46,4196635	-23,4426294
L04257	50,00	194,00	5,00	947,00	204,00	685,00	0,00	287,00	27,00	13,00	81,00	23,00	24,00	ELÓI PIETÁ	2059,00	3157	2540	617	2,43	0,24	45,99	9,91	33,27	0,00	1,31	0,63	3,93	1,12	1,17	-46,4168989	-23,4502035
L04258	32,00	117,00	3,00	792,00	217,00	459,00	2,00	264,00	7,00	16,00	43,00	15,00	19,00	ELÓI PIETÁ	1605,00	2298	1986	312	1,99	0,19	49,35	13,52	28,60	0,12	0,44	1,00	2,68	0,93	1,18	-46,4181034	-23,4396543
L04259	53,00	213,00	4,00	981,00	302,00	635,00	2,00	332,00	17,00	20,00	100,00	32,00	42,00	ELÓI PIETÁ	2188,00	3572	2733	839	2,42	0,18	44,84	13,80	29,02	0,09	0,78	0,91	4,57	1,46	1,92	-46,4044135	-23,4399264
L04260	56,00	175,00	5,00	1224,00	195,00	669,00	2,00	309,00	55,00	15,00	101,00	29,00	20,00	ELÓI PIETÁ	2371,00	3348	2855	493	2,36	0,21	51,62	8,22	28,22	0,08	2,32	0,63	4,26	1,22	0,84	-46,4110264	-23,4483687
